Time,X,Y,Z,Phi,Theta,Psi,U,V,W,P,Q,R,Speed,Beta_c,Alpha_c,Chi,delta_r,delta_s,n_prop
34.24,70.2628588088289,23.017709810001406,14.001397035687177,1.3662021517832308,-8.5053228262859,33.57974427080856,2.344328492538194,0.2540496915239573,-0.0076748735443549,0.1138989732657452,0.2180969341228458,0.8334397819945915,2.358066205680778,6.184881328516144,-0.187574519863941,39.76462559932473,0.0112012062522157,0.0306991486736075,1525.0
34.26,70.29868293562126,23.047597940139248,14.0082999433004,1.3659714113595982,-8.50136170133324,33.596684750576514,2.344381164582213,0.2541936008594724,-0.0076721023522213,0.1137389201251954,0.2179729830924466,0.8327482400572292,2.358134070132625,6.188219691822197,-0.1875025794398473,39.78490444239872,0.0111897163774976,0.0306862311000764,1525.0
34.28,70.33449788577508,23.077499886313415,14.015199902634144,1.3657407350039397,-8.497402655691232,33.61361100246679,2.344433804950384,0.2543373967494488,-0.0076693316210775,0.1135790410887108,0.217849127703975,0.8320568752942707,2.3582018988684865,6.1915552056981635,-0.1874306560461228,39.80516620816495,0.0111782319831924,0.0306733190625836,1525.0
34.300000000000004,70.37030366205998,23.10741563434906,14.022096915023155,1.3655101230454298,-8.493445687667565,33.63052303061704,2.3444864136155767,0.2544810792299701,-0.0076665613531046,0.1134193361143187,0.2177253677356395,0.8313656887709688,2.358269691845498,6.194887871495602,-0.1873587497341906,39.82541090211264,0.0111667530866611,0.0306604125569058,1525.0
34.32,70.40610026725629,23.13734517007989,14.028990981801076,1.3652795758120728,-8.489490795574838,33.647420839185536,2.344538990550796,0.254624648337332,-0.0076637915504719,0.1132598051595479,0.2176017029668106,0.8306746815491559,2.3583374490209805,6.198217690570526,-0.1872868605551431,39.84563852975606,0.0111552797051895,0.0306475115788325,1525.0
34.34,70.44188770415502,23.167288479348176,14.03588210430043,1.3650490936308806,-8.485537977730568,33.66430443235103,2.344591535729184,0.2547681041080403,-0.0076610222153371,0.1131004481814316,0.217478133178017,0.8299838546872503,2.3584051703524405,6.201544664283495,-0.1872149885597675,39.86584909663453,0.0111438118559899,0.0306346161241662,1525.0
34.36,70.47766597555783,23.19724554800479,14.04277028385266,1.3648186768277708,-8.48158723245712,33.68117381431276,2.3446440491240192,0.2549114465788109,-0.0076582533498459,0.1129412651365096,0.2173546581509419,0.8292932092402632,2.358472855797571,6.2048687939995055,-0.1871431337985709,39.886042608312266,0.0111323495562013,0.0306217261887265,1525.0
34.38,70.51343508427698,23.227216361909203,14.049655521788102,1.364588325727593,-8.477638558081733,33.698028989290314,2.344696530708717,0.2550546757865681,-0.0076554849561323,0.1127822559808271,0.2172312776684215,0.8286027462598038,2.3585405053142496,6.208190081088052,-0.1870712963217552,39.90621907037837,0.0111208928228897,0.0306088417683413,1525.0
34.4,70.54919503313535,23.257200906929505,14.056537819436013,1.3643580406541271,-8.473691952936441,33.71486996152369,2.344748980456828,0.2551977917684444,-0.0076527170363186,0.1126234206699385,0.217107991514438,0.8279124667940859,2.3586081188605412,6.211508526922982,-0.1869994761791915,39.92637848844667,0.011109441673046,0.0305959628588568,1525.0
34.42,70.58494582496635,23.287199168942426,14.063417178124553,1.3641278219300854,-8.469747415358102,33.731696735273005,2.3448013983420384,0.2553407945617792,-0.0076499495925152,0.1124647591589093,0.2169847994741197,0.8272223718879359,2.3586756963946924,6.21482413288262,-0.1869276734204456,39.946520868155616,0.0110979961235914,0.030583089456127,1525.0
34.44,70.62068746261394,23.317211133833354,14.070293599180811,1.3638976698771363,-8.465804943688315,33.748509314818655,2.3448537843381714,0.255483684204118,-0.0076471826268207,0.112306271402317,0.2168617013337338,0.8265324625827952,2.358743237875136,6.218136900349642,-0.1868558880948034,39.96664621516829,0.011086556191371,0.0305702215560263,1525.0
34.46,70.65641994893257,23.347236787496342,14.0771670839308,1.363667584815905,-8.461864536273426,33.76530770446114,2.3449061384191845,0.2556264607332116,-0.0076444161413219,0.1121479573542529,0.2167386968806868,0.8258427399167305,2.3588107432604892,6.221446830711076,-0.1867841202512199,39.98675453517221,0.0110751218931601,0.0305573591544338,1525.0
34.480000000000004,70.69214328678713,23.377276115834135,14.084037633699449,1.3634375670659484,-8.457926191464507,33.782091908520954,2.34495846055917,0.2557691241870151,-0.0076416501380941,0.1119898169683253,0.2166157859035166,0.8251532049244364,2.358878212509552,6.224753925358273,-0.1867123699383704,40.00684583387925,0.011063693245659,0.0305445022472485,1525.0
34.5,70.727857479053,23.407329104758183,14.09090524981063,1.363207616945729,-8.453989907617363,33.79886193133866,2.345010750732356,0.2559116746036869,-0.0076388846192004,0.111831850197658,0.2164929681918926,0.8244638586372446,2.3589456455813087,6.228058185686965,-0.1866406372046247,40.026920117025625,0.0110522702654964,0.0305316508303781,1525.0
34.52,70.76356252861592,23.437395740188656,14.097769933587148,1.3629777347726917,-8.450055683092382,33.815617777274646,2.3450630089131046,0.2560541120215883,-0.0076361195866925,0.1116740569948955,0.2163702435366103,0.8237747020831281,2.3590130424349267,6.231359613097077,-0.1865689220980219,40.04697739037172,0.0110408529692294,0.0305188048997452,1525.0
34.54,70.79925843837204,23.467476008054454,14.104631686350748,1.362747920863263,-8.446123516254655,33.8323594507092,2.3451152350759124,0.256196436479282,-0.0076333550426102,0.111516437312202,0.2162476117295881,0.823085736286708,2.359080403029757,6.23465820899289,-0.1864972246663213,40.06701765970209,0.0110294413733431,0.0305059644512848,1525.0
34.56,70.83494521122782,23.49756989429324,14.11149050942212,1.3625181755327764,-8.442193405473908,33.849086956042406,2.3451674291954103,0.2563386480155316,-0.0076305909889814,0.1113589911012646,0.2161250725638644,0.8223969622692603,2.3591477273253325,6.237953974782878,-0.1864255449569513,40.08704093082528,0.0110180354942508,0.0304931294809441,1525.0
34.58,70.87062285010008,23.527677384851433,14.118346404120896,1.3622884990954962,-8.438265349124418,33.86580029769403,2.345219591246363,0.2564807466693008,-0.0076278274278226,0.1112017183132947,0.216002625833593,0.8217083810487209,2.359215015281369,6.241246911879718,-0.1863538830170858,40.10704720957377,0.0110066353482922,0.0304802999846845,1525.0
34.6,70.90629135791589,23.557798465684247,14.125199371765676,1.3620588918647194,-8.434339345585043,33.88249948010349,2.3452717212036696,0.2566227324797522,-0.0076250643611384,0.1110446188990288,0.2158802713340399,0.8210199936396939,2.359282266857764,6.244537021700359,-0.1862822388935426,40.12703650180386,0.0109952409517376,0.030467475958479,1525.0
